Method;Iteration;Convergence
Newton;-2,0000000000000000;
Newton;-0,3333333333333333;1,0000000000000000
Newton;0,7777777777777781;1,0000000000000000
Newton;1,5185185185185188;0,9999999999999996
Newton;2,0123456790123457;1,0000000000000013
Newton;2,3415637860082308;1,0000000000000058
Newton;2,5610425240054884;0,9999999999999983
Newton;2,7073616826703262;1,0000000000007996
Newton;2,8049077884469478;1,0000000000002365
Newton;2,8699385256313534;1,0000000000034177
Newton;2,9132923504210591;0,9999999999942589
Newton;2,9421949002806760;0,9999999999478885
Newton;2,9614632668529497;0,9999999999651318
Newton;2,9743088445677137;1,0000000004193830
Newton;2,9828725630474420;0,9999999995965543
Newton;2,9885817086979598;1,0000000011945576
Newton;2,9923878058021036;1,0000000406463918
Newton;2,9949252039540144;0,9999999087449529
Newton;2,9966168025681257;1,0000002108546449
Newton;2,9977445351929903;0,9999997609396014
Newton;2,9984963567479599;1,0000040834778152
Newton;2,9989975727934564;1,0000066523339723
Newton;2,9993317180836283;0,9999942403227738
Newton;2,9995544796072826;0,9999449669858499
Newton;2,9997029803671182;1,0001229560417773
Newton;2,9998019927574529;0,9992733654826990
Newton;2,9998679601695515;1,0007121489811688
Newton;2,9999119755097126;1,0000864567208272
Newton;2,9999413204391838;0,9810181758041581
Newton;2,9999605803098675;1,2287682023263986
Newton;2,9999758223302888;-0,0000000000000000
Newton;2,9999758223302888;
Halley;-2,0000000000000000;
Halley;0,5000000000000000;1,0000000000000000
Halley;1,7500000000000000;1,0000000000000000
Halley;2,3750000000000000;1,0000000000000000
Halley;2,6875000000000000;1,0000000000000000
Halley;2,8437500000000000;1,0000000000000000
Halley;2,9218750000000000;1,0000000000000000
Halley;2,9609375000000000;1,0000000000000000
Halley;2,9804687500000000;1,0000000000000000
Halley;2,9902343750000000;1,0000000000000000
Halley;2,9951171875000000;1,0000000000000000
Halley;2,9975585937500000;1,0000000000000000
Halley;2,9987792968750000;1,0000000000000000
Halley;2,9993896484375000;1,0000000000000000
Halley;2,9996948242187500;1,0000000000000000
Halley;2,9998474121093750;1,0000000000000000
Halley;2,9999237060546875;0,9828588671852847
Halley;2,9999613970874317;0,9917155370328392
Halley;2,9999803572994148;0,8972104537410587
Halley;2,9999892862202655;-0,9640527711529360
Halley;2,9999807806903567;0,0088644651580892
Halley;3,0000193191289517;-129,6638302832287195
Halley;3,0000098690502237;-0,0000000000000000
Halley;3,0000098690502237;
Bisection;2,7500000000000000;
Bisection;5,1250000000000000;-0,3823761795182354
Bisection;3,9375000000000000;1,2260655646569996
Bisection;3,3437500000000000;1,9858725971846953
Bisection;3,0468750000000000;-0,3880637333924832
Bisection;2,8984375000000000;-1,6971075397327560
Bisection;2,9726562500000000;0,7846594247882449
Bisection;3,0097656250000000;0,1023295733352399
Bisection;2,9912109375000000;27,4331588057434246
Bisection;3,0004882812500000;-0,7404120793976950
Bisection;2,9958496093750000;-0,3823761795182354
Bisection;2,9981689453125000;1,2260655646569996
Bisection;2,9993286132812500;1,9858725971846953
Bisection;2,9999084472656250;-0,3880637333924832
Bisection;3,0001983642578125;-1,6971075397327560
Bisection;3,0000534057617188;0,7846594247882449
Bisection;2,9999809265136719;0,1023295733352399
Bisection;3,0000171661376953;
Secant;3,4945054945054945;
Secant;3,4891952803924164;37,0574643645383404
Secant;3,3278875181562246;0,5953752861645494
Secant;3,2583890101742141;1,2514968556080392
Secant;3,1917810223695904;0,9216270833412885
Secant;3,1457082148752220;1,0325470471235803
Secant;3,1097182520386624;0,9878458401728091
Secant;3,0829031777633227;1,0047307661896323
Secant;3,0625586984983664;0,9981876100350217
Secant;3,0472308604124172;1,0006985975431826
Secant;3,0356515763841210;0,9997313535977002
Secant;3,0269131438204746;1,0001034019567969
Secant;3,0203159670613613;0,9999602132731583
Secant;3,0153361174849351;1,0000153114543531
Secant;3,0115768787259154;0,9999941246697533
Secant;3,0087391311780176;1,0000022141184037
Secant;3,0065969738480169;0,9999991544813861
Secant;3,0049799085758324;1,0000004083256868
Secant;3,0037592215987945;0,9999994336129298
Secant;3,0028377527547709;1,0000015374374425
Secant;3,0021421554979191;0,9999981030479139
Secant;3,0016170656930337;0,9999943388174973
Secant;3,0012206889839912;1,0000224273330454
Secant;3,0009214667065556;0,9999786167137976
Secant;3,0006955956907468;1,0000638577241603
Secant;3,0005250810183668;0,9998961416957854
Secant;3,0003963769934079;1,0000999288521770
Secant;3,0002992115516540;0,9987555081813270
Secant;3,0002259437140459;1,0060802076041282
Secant;3,0001703258317161;0,9916480555107384
Secant;3,0001287021262306;1,0029838607906021
Secant;3,0000971690160143;1,0148880263913480
Secant;3,0000730554611432;0,9369828276177982
Secant;3,0000559221458403;1,2525895060337113
Secant;3,0000400126387734;0,3794291212615811
Secant;3,0000352397866532;-3,4083143105396059
Secant;3,0000543311951340;-1,8556923166113193
Secant;3,0000243304103784;0,3985985588543236
Secant;3,0000176635693214;1,4799276788706432
Secant;3,0000109967282644;-0,0000000000000000
Secant;3,0000109967282644;
